norm_name,display_name,source,current_id,espn_id,espn_name,espn_dob,espn_league,confidence,status,note
aamir simms,Aamir Simms,sl-row,sl-1630603,4277835,Aamir Simms,1999-02-17,mens-college-basketball,exact,approved,
aaron estrada,Aaron Estrada,sl-row,sl-1642401,4593385,Aaron Estrada,2001-02-03,mens-college-basketball,exact,approved,
aaron henry,Aaron Henry,sl-row,sl-1630565,4397209,Aaron Henry,1999-08-30,mens-college-basketball,exact,approved,
aaron nkrumah,Aaron Nkrumah,sl-row,sl-1643635,5182573,Aaron Nkrumah,2001-11-26,mens-college-basketball,exact,approved,
aaron scott,Aaron Scott,sl-row,sl-1643058,,,,,multiple,rejected,"4 athletes share this name — pick one: 4897517 (2003-07-11, mens-college-basketball) | 32125 (no dob, mens-college-basketball) | 4403400 (no dob, mens-college-basketball) | 4602977 (no dob, mens-college-basketball)"
aaron wheeler,Aaron Wheeler,sl-row,sl-1631290,,,,,multiple,rejected,"2 athletes share this name — pick one: 4277982 (1998-09-24, mens-college-basketball) | 3129907 (no dob, mens-college-basketball)"
aaron williams,Aaron Williams,sl-row,sl-1643244,,,,,multiple,rejected,"3 athletes share this name — pick one: 17065 (2003-10-21, mens-college-basketball) | 3160180 (no dob, mens-college-basketball) | 3151472 (no dob, mens-college-basketball)"
ace baldwin,Ace Baldwin Jr.,sl-row,sl-1643131,4433182,Ace Baldwin Jr.,2001-06-07,mens-college-basketball,exact,approved,
aday mara,Aday Mara,sl-row+dynasty-rookie,sl-1643530,5174983,Aday Mara,2005-04-07,mens-college-basketball,exact,approved,
aidan mahaney,Aidan Mahaney,sl-row,sl-1643631,4684628,Aidan Mahaney,2003-08-03,mens-college-basketball,exact,approved,
aj dybantsa,AJ Dybantsa,sl-row+dynasty-rookie,sl-1643407,5142718,AJ Dybantsa,2007-01-29,mens-college-basketball,exact,approved,
aj hoggard,AJ Hoggard,sl-row,sl-1643101,4432206,AJ Hoggard,2000-09-25,mens-college-basketball,exact,approved,
ak okereke,AK Okereke,sl-row,sl-1643758,5114350,AK Okereke,2003-07-02,mens-college-basketball,exact,approved,
akoi yuot,Akoi Yuot,sl-row,sl-27948,,,,,unresolved,rejected,no ESPN athlete matched this name — set espn_id by hand and mark approved
alex karaban,Alex Karaban,sl-row+dynasty-rookie,sl-1642284,4917149,Alex Karaban,2002-11-11,mens-college-basketball,exact,approved,
aliou diarra,Aliou Diarra,sl-row,sl-1641922,,,,,unresolved,rejected,no ESPN athlete matched this name — set espn_id by hand and mark approved
allen graves,Allen Graves,sl-row+dynasty-rookie,sl-1643512,5149115,Allen Graves,2006-07-28,mens-college-basketball,exact,approved,
amani lyles,Amani Lyles,sl-row,sl-27939,5108060,Amani Lyles,2003-01-01,mens-college-basketball,exact,approved,
andrew carr,Andrew Carr,sl-row,sl-1642972,4702743,Andrew Carr,2002-02-01,mens-college-basketball,exact,approved,
andrew holifield,Andrew Holifield,sl-row,sl-27918,5116468,Andrew Holifield,2004-02-02,mens-college-basketball,exact,approved,
anthony dellorso,Anthony Dell'Orso,sl-row,sl-27901,5108141,Anthony Dell'Orso,2003-07-24,mens-college-basketball,exact,approved,
anthony pritchard,Anthony Pritchard,sl-row,sl-1643208,4897155,Anthony Pritchard,2003-05-06,mens-college-basketball,exact,approved,
arnas sakenis,Arnas Sakenis,sl-row,sl-1643728,5107655,Arnas Sakenis,2004-01-01,mens-college-basketball,exact,approved,
arthur kaluma,Arthur Kaluma,sl-row,sl-1641751,4433599,Arthur Kaluma,2002-03-01,mens-college-basketball,exact,approved,
audiese toney,Au'Diese Toney,sl-row,sl-1631421,4395671,Au'Diese Toney,1999-11-12,mens-college-basketball,exact,approved,
aziz bandaogo,Aziz Bandaogo,sl-row,sl-1643701,4703576,Aziz Bandaogo,2001-01-18,mens-college-basketball,exact,approved,
bj edwards,B.J. Edwards,sl-row,sl-1643577,5105552,B.J. Edwards,2002-11-02,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2002-11-02
baba miller,Baba Miller,sl-row+dynasty-rookie,sl-1642394,5075626,Baba Miller,2004-02-07,mens-college-basketball,exact,approved,
barry dunning,Barry Dunning Jr.,sl-row,sl-27904,4683675,Barry Dunning Jr.,2003-10-26,mens-college-basketball,exact,approved,
barry evans,Barry Evans,sl-row,sl-27931,,,,,multiple,rejected,"3 athletes share this name — pick one: 5105987 (2002-09-19, mens-college-basketball) | 17606 (2003-12-01, mens-college-basketball) | 34955 (no dob, mens-college-basketball)"
basheer jihad,Basheer Jihad,sl-row,sl-1643218,4898009,Basheer Jihad,2003-12-13,mens-college-basketball,exact,approved,
ben humrichous,Ben Humrichous,sl-row,sl-1643750,5177736,Ben Humrichous,2002-07-28,mens-college-basketball,exact,approved,
ben middlebrooks,Ben Middlebrooks,sl-row,sl-1643756,4684998,Ben Middlebrooks,2002-10-16,mens-college-basketball,exact,approved,
bennett stirtz,Bennett Stirtz,sl-row+dynasty-rookie,sl-1642892,5241364,Bennett Stirtz,2003-10-03,mens-college-basketball,exact,approved,
bogoljub markovic,Bogoljub Marković,sl-row,sl-1642881,5214989,Bogoljub Markovic,2005-07-12,nba,exact,approved,
boo buie,Boo Buie,sl-row,sl-1642486,4592712,Boo Buie,1999-12-07,mens-college-basketball,exact,approved,
boopie miller,Boopie Miller,sl-row,sl-1643634,4898283,Boopie Miller,2003-05-01,mens-college-basketball,exact,approved,
braden smith,Braden Smith,sl-row+dynasty-rookie,sl-1643552,5105854,Braden Smith,2003-07-25,mens-college-basketball,exact,approved,
brandon angel,Brandon Angel,sl-row,sl-1643109,4590354,Brandon Angel,2001-10-27,mens-college-basketball,exact,approved,
brayden burries,Brayden Burries,sl-row+dynasty-rookie,sl-1643415,5082206,Brayden Burries,2005-09-18,mens-college-basketball,exact,approved,
brendan hausen,Brendan Hausen,sl-row,sl-1643722,5105589,Brendan Hausen,2004-07-06,mens-college-basketball,exact,approved,
brice williams,Brice Williams,sl-row,sl-1642924,4592843,Brice Williams,2001-07-05,mens-college-basketball,exact,approved,
bruce thornton,Bruce Thornton,sl-row+dynasty-rookie,sl-1643570,5105837,Bruce Thornton,2003-09-14,mens-college-basketball,exact,approved,
bryce harris,Bryce Harris,sl-row,sl-27917,,,,,multiple,rejected,"2 athletes share this name — pick one: 4897768 (2002-05-02, mens-college-basketball) | 5182422 (no dob, mens-college-basketball)"
bryce hopkins,Bryce Hopkins,sl-row+dynasty-rookie,sl-1643624,4565698,Bryce Hopkins,2002-09-07,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2002-09-07
bryce thompson,Bryce Thompson,sl-row,sl-1643298,,,,,multiple,rejected,"2 athletes share this name — pick one: 4432200 (2002-02-26, mens-college-basketball) | 4404464 (no dob, mens-college-basketball)"
caleb grill,Caleb Grill,sl-row,sl-1642934,4431973,Caleb Grill,2000-06-15,mens-college-basketball,exact,approved,
caleb wilson,Caleb Wilson,sl-row+dynasty-rookie,sl-1643410,5095151,Caleb Wilson,2006-07-18,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2006-07-18
cam carter,Cam Carter,sl-row,sl-1643064,4898380,Cam Carter,2003-03-17,mens-college-basketball,exact,approved,
cameron boozer,Cameron Boozer,sl-row+dynasty-rookie,sl-1643409,5041935,Cameron Boozer,2007-07-18,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2007-07-18
cameron carr,Cameron Carr,sl-row+dynasty-rookie,sl-1643418,5113969,Cameron Carr,2004-11-21,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2004-11-21
cameron corhen,Cameron Corhen,sl-row,sl-1643723,4712902,Cameron Corhen,2004-05-01,mens-college-basketball,exact,approved,
cameron hildreth,Cameron Hildreth,sl-row,sl-1643160,4696316,Cameron Hildreth,2002-09-18,mens-college-basketball,exact,approved,
cameron matthews,Cameron Matthews,sl-row,sl-1643069,4432394,Cameron Matthews,2001-12-23,mens-college-basketball,exact,approved,
carson cooper,Carson Cooper,sl-row,sl-1643721,5105817,Carson Cooper,2004-04-09,mens-college-basketball,exact,approved,
chance mcmillian,Chance McMillian,sl-row,sl-1642943,4702027,Chance McMillian,2001-12-12,mens-college-basketball,exact,approved,
charles bediako,Charles Bediako,sl-row,sl-1641777,4565203,Charles Bediako,2002-03-10,mens-college-basketball,exact,approved,
chase hunter,Chase Hunter,sl-row,sl-1642936,,,,,multiple,rejected,"2 athletes share this name — pick one: 4592184 (2001-04-08, mens-college-basketball) | 4290877 (no dob, mens-college-basketball)"
chase ross,Chase Ross,sl-row,sl-1643732,5105598,Chase Ross,2003-02-07,mens-college-basketball,exact,approved,
chauncey wiggins,Chauncey Wiggins,sl-row,sl-1643734,5105448,Chauncey Wiggins,2005-02-07,mens-college-basketball,exact,approved,
chris bell,Chris Bell,sl-row,sl-1643645,4684627,Chris Bell,2003-02-16,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2003-02-16
chris cenac,Chris Cenac Jr.,sl-row+dynasty-rookie,sl-1643416,5142621,Chris Cenac Jr.,2007-02-01,mens-college-basketball,exact,approved,
chris ledlum,Chris Ledlum,sl-row,sl-1643062,4431728,Chris Ledlum,2001-02-19,mens-college-basketball,exact,approved,
chris mantis,Chris Mantis,sl-row,sl-1643246,4897226,Chris Mantis,2002-10-05,mens-college-basketball,exact,approved,
christian anderson,Christian Anderson,sl-row+dynasty-rookie,sl-1643515,5060701,Christian Anderson,2006-04-02,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2006-04-02
christian shumate,Christian Shumate,sl-row,sl-1643104,4701228,Christian Shumate,2002-07-24,mens-college-basketball,exact,approved,
christoph tilly,Christoph Tilly,sl-row,sl-1643754,5109790,Christoph Tilly,2003-01-28,mens-college-basketball,exact,approved,
coleman hawkins,Coleman Hawkins,sl-row,sl-1641746,4432976,Coleman Hawkins,2001-12-10,mens-college-basketball,exact,approved,
corey camper,Corey Camper Jr.,sl-row,sl-27933,5177690,Corey Camper Jr.,2003-04-17,mens-college-basketball,exact,approved,
corey stephenson,Corey Stephenson,sl-row,sl-1643654,5175759,Corey Stephenson,2004-05-05,mens-college-basketball,exact,approved,
dailyn swain,Dailyn Swain,sl-row+dynasty-rookie,sl-1643517,4848625,Dailyn Swain,2005-07-15,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2005-07-15
dain dainja,Dain Dainja,sl-row,sl-1643120,4432189,Dain Dainja,2002-07-16,mens-college-basketball,exact,approved,
dajuan harris,Dajuan Harris,sl-row,sl-1643086,4431983,Dajuan Harris,2000-12-11,mens-college-basketball,exact,approved,
damari monsanto,Damari Monsanto,sl-row,sl-1643368,4432916,Damari Monsanto,2000-10-31,mens-college-basketball,exact,approved,
dane goodwin,Dane Goodwin,sl-row,sl-1641863,4395667,Dane Goodwin,1999-12-28,mens-college-basketball,exact,approved,
dante maddox,Dante Maddox Jr.,sl-row,sl-27940,,,,,multiple,rejected,"2 athletes share this name — pick one: 4702487 (2002-01-15, mens-college-basketball) | 5264380 (no dob, mens-college-basketball)"
darin green,Darin Green Jr.,sl-row,sl-1642432,4593839,Darin Green Jr.,2001-01-15,mens-college-basketball,exact,approved,
darius acuff,Darius Acuff Jr.,sl-row+dynasty-rookie,sl-1643411,5142620,Darius Acuff Jr.,2006-11-16,mens-college-basketball,exact,approved,
darryn peterson,Darryn Peterson,sl-row+dynasty-rookie,sl-1643408,5041955,Darryn Peterson,2007-01-17,mens-college-basketball,exact,approved,
david muoka,David Muoka,sl-row,sl-1641987,4593762,David Muoka,2000-12-14,mens-college-basketball,exact,approved,
davide casarin,Davide Casarin,sl-row,sl-1643746,,,,,unresolved,rejected,no ESPN athlete matched this name — set espn_id by hand and mark approved
day day thomas,Day Day Thomas,sl-row,sl-1643762,5175032,Day Day Thomas,2002-12-11,mens-college-basketball,exact,approved,
deivon smith,Deivon Smith,sl-row,sl-1643090,4433184,Deivon Smith,2002-03-08,mens-college-basketball,exact,approved,
devin askew,Devin Askew,sl-row,sl-1643653,4702467,Devin Askew,2003-07-26,mens-college-basketball,exact,approved,
devin mcglockton,Devin McGlockton,sl-row,sl-1643786,,,,,multiple,rejected,"2 athletes share this name — pick one: 4791227 (2003-03-27, mens-college-basketball) | 5254343 (no dob, mens-college-basketball)"
devon higgs,Devon Higgs,sl-row,sl-1642045,4707776,Devon Higgs,,mens-college-basketball,exact,approved,
dillon mitchell,Dillon Mitchell,sl-row+dynasty-rookie,sl-1641759,5106283,Dillon Mitchell,2003-10-03,mens-college-basketball,exact,approved,
dion brown,Dion Brown,sl-row,sl-1643749,5107242,Dion Brown,2003-05-26,mens-college-basketball,exact,approved,duplicate name resolved by roster DOB 2003-05-26
